Depth;DEPOFACIES;GR;GR_SHAPE;LLD;NPHI;PHIE;RHOB;ROCK_TYPE;VWCL
M;;gAPI;;ohm.m;m3/m3;Dec;g/cm3;;Dec
1770.4500;2.0000;126.5819;2.0000;1.7253;0.2868;0.2517;2.1762;-9999;0.2907
1770.6000;2.0000;151.2380;2.0000;1.1600;0.3178;0.0646;2.0878;-9999;0.5441
1770.7500;1.0000;161.8580;2.0000;1.2485;0.3488;0.0001;2.0970;-9999;0.6911
1770.9000;1.0000;172.4880;2.0000;1.3370;0.3798;0.0001;2.1223;-9999;0.8777
1771.0500;1.0000;173.9333;2.0000;1.3475;0.4109;0.0001;2.1475;-9999;0.9076
1771.2000;1.0000;175.3800;2.0000;1.3580;0.4419;0.0035;2.1728;-9999;0.7090
1771.3500;1.0000;174.0816;2.0000;1.3620;0.4729;0.0023;2.1981;-9999;0.7266
1771.5000;1.0000;172.7820;2.0000;1.3660;0.5039;0.0016;2.2234;-9999;0.7442
1771.6500;1.0000;173.0329;2.0000;1.3515;0.4264;0.0042;2.2487;-9999;0.7002
1771.8000;1.0000;173.2840;2.0000;1.3370;0.4574;0.0028;2.2221;-9999;0.7178
1771.9500;1.0000;172.3869;2.0000;1.3225;0.4884;0.0019;2.1956;-9999;0.7354
1772.1000;1.0000;171.4890;2.0000;1.3080;0.5194;0.0015;2.1690;-9999;0.7472
1772.2500;1.0000;168.8472;2.0000;1.3455;0.5168;0.0029;2.1425;-9999;0.7177
1772.4000;1.0000;166.2030;2.0000;1.3830;0.5142;0.0051;2.1159;-9999;0.6904
1772.5500;1.0000;168.4469;2.0000;1.3445;0.5116;0.0033;2.0894;-9999;0.7107
1772.7000;1.0000;170.6930;2.0000;1.3060;0.5090;0.0020;2.1115;-9999;0.7326
1772.8500;1.0000;166.0557;2.0000;1.2880;0.5065;0.0058;2.1336;-9999;0.6846
1773.0000;1.0000;161.4140;2.0000;1.2700;0.5039;0.0132;2.1558;-9999;0.6424
1773.1500;1.0000;162.1112;2.0000;1.1955;0.4729;0.0163;2.1779;-9999;0.6306
1773.3000;1.0000;162.8090;2.0000;1.1210;0.4419;0.0201;2.0363;-9999;0.6189
1773.4500;1.0000;159.1232;2.0000;1.0420;0.4109;0.0438;1.8947;-9999;0.5711
1773.6000;1.0000;155.4340;2.0000;0.9630;0.3798;0.0825;1.9372;-9999;0.5256
1773.7500;1.0000;155.4310;2.0000;0.9510;0.3891;0.0771;1.9796;-9999;0.5309
1773.9000;1.0000;155.4280;2.0000;0.9390;0.3984;0.0719;2.0221;-9999;0.5362
1774.0500;1.0000;150.2884;2.0000;0.9905;0.4078;0.1047;2.0646;-9999;0.5060
1774.2000;1.0000;145.1440;2.0000;1.0420;0.4171;0.1400;2.1071;-9999;0.4791
1774.3500;1.0000;146.6878;2.0000;0.9890;0.4264;0.1201;2.0681;-9999;0.4938
1774.5000;1.0000;148.2330;2.0000;0.9360;0.4357;0.1015;2.0292;-9999;0.5087
1774.6500;1.0000;148.5858;2.0000;0.8296;0.4450;0.0927;1.9903;-9999;0.5162
1774.8000;1.0000;148.9390;2.0000;0.7230;0.4543;0.0844;1.9513;-9999;0.5238
1774.9500;1.0000;147.3952;2.0000;0.8189;0.4636;0.0893;1.9124;-9999;0.5193
1775.1000;1.0000;145.8500;2.0000;0.9150;0.4109;0.1390;1.9212;-9999;0.4799
1775.2500;1.0000;153.8797;2.0000;0.8770;0.4496;0.0561;1.9301;-9999;0.5542
1775.4000;1.0000;161.9170;2.0000;0.8390;0.4884;0.0143;1.9389;-9999;0.6378
1775.5500;1.0000;165.4054;2.0000;0.8035;0.5271;0.0051;1.9478;-9999;0.6903
1775.7000;1.0000;168.8970;2.0000;0.7680;0.5659;0.0015;1.9566;-9999;0.7459
1775.8500;1.0000;165.1093;2.0000;0.7395;0.4961;0.0078;1.9655;-9999;0.6700
1776.0000;1.0000;161.3180;2.0000;0.7110;0.4264;0.0288;1.9743;-9999;0.5976
1776.1500;1.0000;162.0152;2.0000;0.7435;0.4535;0.0201;1.9832;-9999;0.6188
1776.3000;1.0000;162.7130;2.0000;0.7760;0.4806;0.0137;1.9920;-9999;0.6401
1776.4500;1.0000;159.2726;2.0000;0.7480;0.5078;0.0173;2.0009;-9999;0.6273
1776.6000;1.0000;155.8290;2.0000;0.7200;0.5349;0.0210;2.0138;-9999;0.6165
1776.7500;1.0000;147.9492;2.0000;0.7090;0.4884;0.0713;2.0266;-9999;0.5368
1776.9000;1.0000;140.0620;2.0000;0.6980;0.4419;0.1614;2.0395;-9999;0.4641
1777.0500;1.0000;143.6038;2.0000;0.9054;0.3953;0.1707;2.0524;-9999;0.4577
1777.2000;1.0000;147.1490;2.0000;1.1130;0.3488;0.1370;2.0652;-9999;0.4523
1777.3500;1.0000;144.0590;2.0000;1.1640;0.3488;0.1484;2.0781;-9999;0.4337
1777.5000;1.0000;140.9660;2.0000;1.2150;0.3488;0.1597;2.0910;-9999;0.4160
1777.6500;1.0000;143.8052;2.0000;1.1585;0.3488;0.1493;2.1039;-9999;0.4322
1777.8000;1.0000;146.6470;2.0000;1.1020;0.3488;0.1388;2.1167;-9999;0.4492
1777.9500;1.0000;149.8390;2.0000;1.0320;0.3488;0.1273;2.1296;-9999;0.4694
1778.1000;1.0000;153.0340;2.0000;0.9620;0.3592;0.1163;2.1425;-9999;0.4967
1778.2500;1.0000;158.7148;2.0000;1.0215;0.3695;0.0645;2.1071;-9999;0.5443
1778.4000;1.0000;164.4010;2.0000;1.0810;0.3798;0.0289;2.0717;-9999;0.5975
1778.5500;1.0000;164.8468;2.0000;1.0400;0.3798;0.0270;2.0451;-9999;0.6015
1778.7000;1.0000;165.2930;2.0000;0.9990;0.3798;0.0253;2.0186;-9999;0.6056
1778.8500;1.0000;164.1026;2.0000;1.0075;0.3798;0.0301;1.9920;-9999;0.5949
1779.0000;1.0000;162.9110;2.0000;1.0160;0.3818;0.0350;1.9655;-9999;0.5856
1779.1500;1.0000;161.8160;2.0000;1.0165;0.3837;0.0398;1.9389;-9999;0.5774
1779.3000;1.0000;160.7200;2.0000;1.0170;0.3857;0.0449;1.9124;-9999;0.5695
1779.4500;1.0000;163.2598;2.0000;1.0220;0.3876;0.0316;1.9159;-9999;0.5919
1779.6000;1.0000;165.8020;2.0000;1.0270;0.3895;0.0212;1.9195;-9999;0.6158
1779.7500;1.0000;166.4002;2.0000;1.0195;0.3915;0.0189;1.9230;-9999;0.6225
1779.9000;1.0000;166.9990;2.0000;1.0120;0.3934;0.0167;1.9265;-9999;0.6293
1780.0500;1.0000;166.1524;2.0000;0.9400;0.3953;0.0189;1.9301;-9999;0.6224
1780.2000;1.0000;165.3050;2.0000;0.8680;0.3876;0.0234;1.9596;-9999;0.6101
1780.3500;1.0000;167.7464;2.0000;0.8615;0.3798;0.0169;1.9891;-9999;0.6288
1780.5000;1.0000;170.1900;2.0000;0.8550;0.3721;0.0116;2.0186;-9999;0.6494
1780.6500;1.0000;161.5141;2.0000;0.8720;0.3643;0.0488;2.0481;-9999;0.5638
1780.8000;1.0000;152.8300;2.0000;0.8890;0.3566;0.1201;2.0776;-9999;0.4939
1780.9500;1.0000;154.8286;2.0000;0.9705;0.3488;0.1074;2.1071;-9999;0.5034
1781.1000;1.0000;156.8290;2.0000;1.0520;0.3747;0.0751;2.0407;-9999;0.5329
1781.2500;1.0000;157.4752;2.0000;1.0180;0.4005;0.0575;1.9743;-9999;0.5525
1781.4000;1.0000;158.1220;2.0000;0.9840;0.4264;0.0431;1.9080;-9999;0.5721
1781.5500;1.0000;161.0116;2.0000;0.9860;0.4109;0.0346;1.8416;-9999;0.5862
1781.7000;1.0000;163.9040;2.0000;0.9880;0.3953;0.0268;1.8858;-9999;0.6020
1781.8500;1.0000;162.2588;2.0000;0.9675;0.3798;0.0388;1.9301;-9999;0.5789
1782.0000;1.0000;160.6120;2.0000;0.9470;0.3643;0.0544;1.9743;-9999;0.5564
1782.1500;1.0000;161.7070;2.0000;0.9635;0.3682;0.0461;2.0186;-9999;0.5676
1782.3000;1.0000;162.8030;2.0000;0.9800;0.3721;0.0387;1.9920;-9999;0.5791
1782.4500;1.0000;161.6600;2.0000;0.8841;0.3760;0.0434;1.9655;-9999;0.5717
1782.6000;1.0000;160.5160;2.0000;0.7880;0.3798;0.0483;1.9389;-9999;0.5645
1782.7500;1.0000;157.7728;2.0000;0.7775;0.3695;0.0711;1.9124;-9999;0.5370
1782.9000;1.0000;155.0270;2.0000;0.7670;0.3592;0.0990;1.9478;-9999;0.5108
1783.0500;1.0000;158.6678;2.0000;0.8690;0.3488;0.0759;1.9832;-9999;0.5320
