TimeSeries; || ;RR; DET; LAM; RATIO; averageL; averageH; Lmax; Hmax; DIV; ENTR; averageTime1; averageTime2
[66.802, 70.656, 65.809, 61.229, 64.509, 74.105, 83.287, 87.826, 89.085, 88.534, 87.883, 97.232, 102.469, 104.879, 102.86, 99.561, 95.668, 91.34, 92.027, 97.457, 100.772, 100.285, 99.25, 97.386, 96.293]; || ;0.027438940818508263;1.0;1.0;36.44455544455545;12.89655172413793;4.468926553672317;98;13;0.01020408163265306;2.6141609436303543;55.0;56.36842105263158
[94.906, 92.659, 89.85, 85.402, 82.232, 83.678, 85.997, 82.925, 70.948, 54.213, 42.822, 38.339, 37.329, 38.841, 39.371, 38.706, 39.502, 39.874, 39.053, 38.944, 38.769, 40.424, 45.01, 51.507, 58.822]; || ;0.14497957841067954;1.0;1.0;6.897523161278124;19.062992125984252;19.623529411764707;110;68;0.00909090909090909;3.416316206254342;15.042553191489361;26.638297872340427
[65.479, 72.458, 76.867, 80.137, 84.102, 85.623, 85.623, 85.728, 86.878, 86.916, 85.166, 85.017, 88.089, 90.451, 90.196, 89.879, 90.55, 90.082, 88.634, 88.313, 89.447, 92.255, 91.677, 90.54, 89.185]; || ;0.06422521312464022;1.0;1.0;15.570209133589417;11.28735632183908;8.0546875;162;33;0.006172839506172839;2.8456938638296663;32.08888888888889;41.12222222222222
[88.639, 91.122, 91.676, 89.391, 88.659, 90.11, 92.05, 90.736, 89.814, 93.71, 96.586, 94.152, 91.693, 93.222, 94.949, 92.907, 90.265, 91.185, 92.407, 89.695, 86.743, 85.988, 86.055, 85.221, 84.652]; || ;0.017187028864340342;1.0;1.0;58.18341307814992;6.714285714285714;2.7611940298507465;26;14;0.038461538461538464;2.453150923512088;50.56060606060606;51.22727272727273
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[82.168, 87.37, 86.807, 89.695, 95.847, 95.693, 91.748, 88.491, 84.844, 86.186, 90.652, 92.206, 91.645, 92.07, 92.304, 88.554, 85.333, 83.981, 81.921, 80.794, 80.909, 82.676, 84.489, 83.568, 81.769]; || ;0.017844905567281598;1.0;1.0;56.0384024577573;8.541666666666666;3.0522388059701493;29;8;0.034482758620689655;2.5539429400241977;49.372549019607845;50.3921568627451
[83.373, 86.453, 86.21, 84.342, 84.556, 85.328, 85.328, 88.767, 95.303, 99.58, 98.944, 95.985, 95.531, 95.572, 94.84, 95.664, 96.287, 95.807, 93.083, 89.026, 89.603, 93.229, 92.482, 92.835, 95.09]; || ;0.026232833529782628;1.0;1.0;38.1201671891327;9.324324324324325;5.081081081081081;52;17;0.019230769230769232;2.4564409515206638;18.214285714285715;24.642857142857142
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[45.784, 53.317, 63.213, 74.096, 81.853, 84.414, 86.324, 90.663, 90.798, 87.121, 84.076, 82.533, 83.212, 84.112, 85.871, 89.696, 91.204, 88.72, 88.997, 90.087, 86.497, 83.266, 82.079, 82.899, 83.929]; || ;0.06658260464351307;1.0;1.0;15.018937834499793;12.117647058823529;5.700280112044818;161;19;0.006211180124223602;3.055492020705524;61.714285714285715;67.10344827586206
[86.266, 90.547, 91.041, 88.04, 86.13, 86.864, 86.619, 85.743, 86.775, 89.653, 91.559, 91.124, 89.478, 89.478, 86.028, 83.547, 83.203, 85.913, 91.593, 94.076, 93.135, 95.107, 97.401, 96.276, 94.066]; || ;0.015871275458457828;1.0;1.0;63.00690846286701;9.052631578947368;2.7674418604651163;35;6;0.02857142857142857;2.2326944771870663;58.225806451612904;59.03225806451613
[94.505, 93.407, 90.48, 85.572, 85.927, 89.453, 88.822, 86.369, 86.519, 88.548, 92.477, 95.434, 94.327, 95.923, 97.816, 96.142, 95.28, 92.972, 85.836, 82.1, 83.972, 84.677, 84.618, 82.397, 78.064]; || ;0.01888654368027192;1.0;1.0;52.94775036284471;9.333333333333334;3.287671232876712;48;12;0.020833333333333332;2.3010918738473594;35.27777777777778;37.333333333333336
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
