TimeSeries; || ;RR; DET; LAM; RATIO; averageL; averageH; Lmax; Hmax; DIV; ENTR; averageTime1; averageTime2
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[77.4379, 85.2237, 95.3474, 105.8225, 114.144, 118.8824, 120.2522, 119.8231, 119.4776, 120.036, 120.7243, 120.5761, 120.1523, 120.5789, 122.0287, 124.1638, 126.5644, 128.4771, 128.8599, 127.5976, 126.2014, 125.5506, 124.203, 120.7297, 116.4131]; || ;0.08982758148077082;1.0;1.0;11.132438205675923;14.693877551020408;13.4;155;37;0.0064516129032258064;3.10891654280221;13.732394366197184;26.577464788732396
[113.9985, 114.403, 115.9046, 116.1436, 113.2026, 107.5618, 101.9639, 98.9797, 99.8279, 104.2356, 110.5875, 116.8704, 121.5165, 120.9457, 117.1293, 126.7524, 133.7772, 136.0753, 138.133, 140.2643, 141.2258, 141.1345, 141.956, 144.2236, 145.1482]; || ;0.023985088128066667;1.0;1.0;41.692571428571426;10.793103448275861;5.636363636363637;60;19;0.016666666666666666;2.8234169983973922;3.5;8.0
[142.7698, 139.2609, 137.5202, 137.3156, 136.6071, 135.5105, 136.5527, 140.6314, 145.3201, 147.819, 147.8582, 146.8674, 145.7206, 144.4223, 143.0904, 142.3203, 142.4785, 143.6607, 146.099, 149.8125, 153.7324, 155.9987, 155.8102, 153.8843, 150.9938]; || ;0.016748444395712835;1.0;1.0;59.70703764320786;12.125;3.58974358974359;66;9;0.015151515151515152;2.3066687254045313;0;0
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[69.1467, 72.4845, 82.2868, 93.4065, 101.5142, 104.9935, 105.0794, 103.7205, 101.8492, 99.0959, 95.8631, 94.7078, 97.3792, 102.9674, 109.1902, 114.0352, 115.6123, 112.5124, 105.7744, 98.1607, 89.9143, 83.6678, 87.7367, 91.1668, 92.1936]; || ;0.013897645349634056;1.0;1.0;71.95463510848126;11.0;3.3333333333333335;60;9;0.016666666666666666;2.2450352741261774;72.0;72.0
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[71.7431, 69.697, 67.0262, 63.9691, 60.5756, 57.2547, 54.9623, 54.4136, 55.1738, 55.7273, 55.0388, 53.9309, 54.2646, 56.4115, 58.6184, 59.1081, 58.0371, 57.1476, 57.8771, 60.5612, 64.4963, 68.2252, 70.9014, 72.6722, 73.9538]; || ;0.014884460404045941;1.0;1.0;67.1841620626151;9.9375;3.2;51;6;0.0196078431372549;2.4260151319598084;32.1875;33.6875
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[60.3405, 62.0612, 63.5862, 64.3718, 64.5394, 64.925, 65.8199, 66.5774, 66.8891, 67.4333, 69.1004, 72.042, 75.5913, 79.1797, 82.7937, 86.1403, 88.1006, 87.8323, 86.2298, 85.5264, 87.348, 91.0326, 94.4173, 96.6004, 98.3155]; || ;0.03341465420355802;1.0;1.0;29.926989335520915;17.357142857142858;6.512820512820513;84;18;0.011904761904761904;3.0351414327923703;35.166666666666664;36.833333333333336
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[39.7884, 40.4853, 40.2118, 40.1197, 41.4815, 43.6263, 44.8276, 44.805, 44.9694, 46.3228, 48.3823, 50.2406, 51.153, 50.6472, 49.2888, 48.3604, 48.5846, 49.2858, 49.6608, 49.9385, 49.732, 47.6009, 45.3205, 47.6378, 50.6451]; || ;0.018228666977330665;1.0;1.0;54.85864661654135;9.26086956521739;4.411214953271028;44;13;0.022727272727272728;2.570281285762038;4.5;8.0
[52.5707, 53.9062, 54.999, 56.2031, 57.0839, 56.7851, 55.0346, 52.6786, 50.9614, 50.333, 50.5874, 51.1607, 51.3583, 50.8877, 50.0685, 49.4345, 49.2446, 49.5006, 50.1346, 50.8425, 51.318, 51.7322, 52.4915, 53.5268, 54.2668]; || ;0.014555522052575313;1.0;1.0;68.70244821092278;11.142857142857142;2.4959349593495936;36;8;0.027777777777777776;2.0449311748495913;65.9090909090909;67.75757575757575
[54.3362, 53.9678, 53.7752, 54.2766, 55.5965, 57.2983, 58.7429, 59.7118, 60.1746, 60.0276, 59.1378, 57.6888, 56.7128, 57.3348, 59.5022, 61.5783, 62.1079, 61.2141, 60.0933, 59.4438, 58.8271, 57.7769, 56.2074, 54.8806, 54.4119]; || ;0.0109372001863984;1.0;1.0;91.43107769423558;7.583333333333333;2.5945945945945947;18;6;0.05555555555555555;2.2538575896013526;78.9375;79.4375
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
