TimeSeries; || ;RR; DET; LAM; RATIO; averageL; averageH; Lmax; Hmax; DIV; ENTR; averageTime1; averageTime2
[163.5507, 152.8582, 143.8219, 137.4937, 133.0277, 140.9961, 140.3134, 147.6209, 147.393, 155.139, 155.9895, 149.5648, 147.9878, 149.4607, 148.0908, 143.2489, 136.4747, 134.4743, 136.5979, 148.8621, 150.5904, 146.242, 142.7017, 144.0514, 145.8912]; || ;0.016419506044242207;0.92;0.78125;56.030918196994996;7.521739130434782;3.34;26;7;0.038461538461538464;2.2609368563805945;66.91304347826087;68.0
[152.2178, 161.3471, 172.4467, 170.2129, 166.4052, 165.877, 166.4074, 170.2896, 172.7699, 170.8348, 163.1711, 161.5043, 163.3031, 163.5099, 163.1489, 164.6371, 163.5395, 160.2186, 151.9189, 148.8487, 157.5124, 161.2737, 172.051, 170.5458, 169.4238]; || ;0.025300841533949178;0.8571428571428571;0.860655737704918;33.878037455502245;10.566666666666666;6.419047619047619;51;20;0.0196078431372549;2.7193768035552357;124.85365853658537;125.70731707317073
[166.6457, 161.568, 162.1932, 164.3549, 171.9438, 171.3725, 167.6639, 158.7564, 157.1213, 159.1795, 161.5939, 162.2602, 162.7709, 161.4817, 160.251, 160.3036, 162.4663, 160.3057, 157.2645, 154.2664, 152.6319, 157.8271, 157.2915, 153.6816, 149.6154]; || ;0.02579424906115512;0.875;0.8241206030150754;33.92229011689692;9.142857142857142;3.8902439024390243;82;10;0.012195121951219513;2.3141980374653226;51.01298701298701;53.96103896103896
[159.4518, 160.1267, 159.9637, 158.8084, 164.7878, 166.2521, 169.4565, 169.2099, 176.0207, 171.7828, 168.1799, 161.5839, 147.7974, 147.2317, 144.3124, 143.1426, 135.1648, 134.1525, 138.7559, 141.3779, 146.3615, 152.0709, 162.5579, 163.8896, 161.6748]; || ;0.027110002467037635;0.9722222222222222;0.9320987654320988;35.862122233456915;10.142857142857142;5.158940397350993;58;20;0.017241379310344827;2.6241632466409626;5.125;14.25
[159.6392, 158.4325, 157.0541, 152.605, 155.1302, 163.6287, 166.5057, 160.2382, 149.8011, 136.4157, 132.9005, 146.7233, 152.1533, 163.7611, 162.6229, 155.7401, 155.6201, 151.2204, 151.1431, 148.1632, 146.9209, 145.6184, 142.5148, 149.6931, 148.1069]; || ;0.015432690989830323;0.9375;0.8738738738738738;60.74766873889876;10.933333333333334;3.597938144329897;57;7;0.017543859649122806;2.1186492470699507;87.0;88.44444444444444
[142.4789, 138.0526, 127.7544, 122.1721, 125.4895, 129.9939, 132.8802, 136.3758, 138.5187, 134.3268, 135.4174, 132.0601, 138.9757, 142.8593, 144.5736, 144.0527, 149.4782, 153.6673, 158.4368, 146.3509, 134.5503, 128.7372, 115.3819, 110.1594, 95.4274]; || ;0.02842575587292015;0.9743589743589743;0.9021739130434783;34.277328585911036;10.0;4.759036144578313;133;15;0.007518796992481203;2.33137509667988;67.6842105263158;69.97368421052632
[91.5565, 81.674, 81.6725, 84.4415, 85.8713, 87.2051, 85.171, 87.9471, 89.7328, 87.5649, 83.6529, 77.6126, 77.4723, 80.6421, 81.2647, 79.6943, 79.9671, 87.5511, 93.8574, 102.3716, 105.2765, 111.8431, 113.4833, 115.8143, 117.4269]; || ;0.030618678216057675;0.8421052631578947;0.925531914893617;27.502992036941052;12.9375;5.057471264367816;76;11;0.013157894736842105;2.5644357472069492;16.59375;21.71875
[125.0134, 128.3774, 127.844, 125.423, 121.4261, 122.6063, 125.5783, 125.2001, 117.0413, 113.7878, 120.0421, 118.4895, 120.779, 115.7167, 126.9389, 130.5234, 140.6412, 142.0119, 139.7367, 133.9205, 131.57, 125.542, 125.306, 125.3433, 121.78]; || ;0.023710972835174475;0.9743589743589743;0.8552631578947368;41.09316733362976;7.526315789473684;4.7384615384615385;53;14;0.018867924528301886;2.36226562968538;119.36111111111111;122.61111111111111
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[59.4522, 62.0757, 69.5054, 72.3964, 80.0811, 86.6919, 103.0784, 110.301, 117.3408, 119.5789, 123.9625, 127.2492, 131.663, 132.5685, 130.8382, 128.4115, 126.4185, 124.992, 118.9781, 114.8802, 114.0021, 118.3163, 123.2985, 122.2613, 120.1855]; || ;0.03906142923713714;0.9722222222222222;0.9861111111111112;24.889571150097467;16.514285714285716;5.596244131455399;141;17;0.0070921985815602835;2.7728883715234987;96.33333333333333;100.17948717948718
