TimeSeries; || ;RR; DET; LAM; RATIO; averageL; averageH; Lmax; Hmax; DIV; ENTR; averageTime1; averageTime2
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[77.4379, 85.2237, 95.3474, 105.8225, 114.144, 118.8824, 120.2522, 119.8231, 119.4776, 120.036, 120.7243, 120.5761, 120.1523, 120.5789, 122.0287, 124.1638, 126.5644, 128.4771, 128.8599, 127.5976, 126.2014, 125.5506, 124.203, 120.7297, 116.4131]; || ;0.13237027493763878;1.0;0.9899497487437185;7.554566162766617;24.206521739130434;23.33502538071066;160;65;0.00625;3.5345393307649613;11.743589743589743;32.41025641025641
[113.9985, 114.403, 115.9046, 116.1436, 113.2026, 107.5618, 101.9639, 98.9797, 99.8279, 104.2356, 110.5875, 116.8704, 121.5165, 120.9457, 117.1293, 126.7524, 133.7772, 136.0753, 138.133, 140.2643, 141.2258, 141.1345, 141.956, 144.2236, 145.1482]; || ;0.03697815301115649;0.9393939393939394;0.9766081871345029;25.404025428487994;17.419354838709676;6.910179640718563;74;21;0.013513513513513514;2.9977567032719814;0;0
[142.7698, 139.2609, 137.5202, 137.3156, 136.6071, 135.5105, 136.5527, 140.6314, 145.3201, 147.819, 147.8582, 146.8674, 145.7206, 144.4223, 143.0904, 142.3203, 142.4785, 143.6607, 146.099, 149.8125, 153.7324, 155.9987, 155.8102, 153.8843, 150.9938]; || ;0.0270551794084592;0.96;0.9102564102564102;35.48303951367781;15.25;5.436619718309859;76;13;0.013157894736842105;2.4631046437978106;78.6;79.3
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[69.1467, 72.4845, 82.2868, 93.4065, 101.5142, 104.9935, 105.0794, 103.7205, 101.8492, 99.0959, 95.8631, 94.7078, 97.3792, 102.9674, 109.1902, 114.0352, 115.6123, 112.5124, 105.7744, 98.1607, 89.9143, 83.6678, 87.7367, 91.1668, 92.1936]; || ;0.02299827307365478;0.95;0.8903225806451613;41.30744934445769;15.789473684210526;4.471014492753623;111;14;0.009009009009009009;2.4791224365093933;70.07142857142857;71.21428571428571
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[71.7431, 69.697, 67.0262, 63.9691, 60.5756, 57.2547, 54.9623, 54.4136, 55.1738, 55.7273, 55.0388, 53.9309, 54.2646, 56.4115, 58.6184, 59.1081, 58.0371, 57.1476, 57.8771, 60.5612, 64.4963, 68.2252, 70.9014, 72.6722, 73.9538]; || ;0.026945533291302323;0.9666666666666667;0.9226190476190477;35.87483892845032;12.551724137931034;4.8;109;11;0.009174311926605505;2.4322781560465363;29.6;33.885714285714286
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[60.3405, 62.0612, 63.5862, 64.3718, 64.5394, 64.925, 65.8199, 66.5774, 66.8891, 67.4333, 69.1004, 72.042, 75.5913, 79.1797, 82.7937, 86.1403, 88.1006, 87.8323, 86.2298, 85.5264, 87.348, 91.0326, 94.4173, 96.6004, 98.3155]; || ;0.05189002494449165;0.972972972972973;0.9904306220095693;18.75067460487429;22.555555555555557;8.120772946859903;189;22;0.005291005291005291;3.0153351233670116;30.894736842105264;34.94736842105263
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
[39.7884, 40.4853, 40.2118, 40.1197, 41.4815, 43.6263, 44.8276, 44.805, 44.9694, 46.3228, 48.3823, 50.2406, 51.153, 50.6472, 49.2888, 48.3604, 48.5846, 49.2858, 49.6608, 49.9385, 49.732, 47.6009, 45.3205, 47.6378, 50.6451]; || ;0.031660316329048;0.8536585365853658;0.9324324324324325;26.963045084996303;12.2;6.72463768115942;77;15;0.012987012987012988;2.765669184688764;61.0;63.61538461538461
[52.5707, 53.9062, 54.999, 56.2031, 57.0839, 56.7851, 55.0346, 52.6786, 50.9614, 50.333, 50.5874, 51.1607, 51.3583, 50.8877, 50.0685, 49.4345, 49.2446, 49.5006, 50.1346, 50.8425, 51.318, 51.7322, 52.4915, 53.5268, 54.2668]; || ;0.02442367259669417;0.875;0.9297297297297298;35.825897867564535;15.285714285714286;3.7151162790697674;125;11;0.008;2.38438226576157;69.625;73.04166666666667
[54.3362, 53.9678, 53.7752, 54.2766, 55.5965, 57.2983, 58.7429, 59.7118, 60.1746, 60.0276, 59.1378, 57.6888, 56.7128, 57.3348, 59.5022, 61.5783, 62.1079, 61.2141, 60.0933, 59.4438, 58.8271, 57.7769, 56.2074, 54.8806, 54.4119]; || ;0.01779008250870316;1.0;0.8424657534246576;56.211093990755;11.555555555555555;3.2439024390243905;43;9;0.023255813953488372;2.245171589411516;77.69444444444444;78.77777777777777
---------; || ;; ; ; ; ; ; ; ; ; ; ; 
